"DOI.ISBN","rcross_title","rcross_author","rcross_found"
"10.1002/ajp.20386","American Journal of Primatology","Wich",TRUE
"10.1002/ajp.22177","American Journal of Primatology","Hernández-Pacheco",TRUE
"10.1002/ajp.22323","American Journal of Primatology","Kessler",TRUE
"10.1002/ajp.22375","American Journal of Primatology","Hernandez-Pacheco",TRUE
"10.1002/aqc.2243","Aquatic Conservation: Marine and Freshwater Ecosystems","Foster",TRUE
"10.1002/ece3.1290","Ecology and Evolution","Davis",TRUE
"10.1002/ece3.984","Ecology and Evolution","Grüebler",TRUE
"10.1002/ecs2.1223","Ecosphere","Facka",TRUE
"10.1002/etc.2972","Environmental Toxicology and Chemistry","Miller",TRUE
"10.1002/etc.5620210425","Environmental Toxicology and Chemistry","Kuhn",TRUE
"10.1002/jwmg.1020","The Journal of Wildlife Management","Sweitzer",TRUE
"10.1002/jwmg.278","The Journal of Wildlife Management","Blomberg",TRUE
"10.1002/jwmg.369","The Journal of Wildlife Management","McNew",TRUE
"10.1002/jwmg.582","The Journal of Wildlife Management","Reynolds",TRUE
"10.1002/jwmg.628","The Journal of Wildlife Management","Chastant",TRUE
"10.1002/jwmg.835","The Journal of Wildlife Management","Chitwood",TRUE
"10.1002/lno.10075","Limnology and Oceanography","Edmunds",TRUE
"10.1002/wmon.1012","Wildlife Monographs","Howerter",TRUE
"10.1002/wsb.669","Wildlife Society Bulletin","Arnold",TRUE
"10.1006/eesa.1996.0045","Ecotoxicology and Environmental Safety","Laskowski",TRUE
"10.1007/978-3-319-17001-5_13-1","Marine Animal Forests","Bramanti",TRUE
"10.1007/BF00318316","Oecologia","Lasker",TRUE
"10.1007/BF00323539","Oecologia","Harvell",TRUE
"10.1007/BF00346293","Oecologia","Dempster",TRUE
"10.1007/BF00349187","Oecologia","Leslie Hayes",TRUE
"10.1007/BF00390542","Marine Biology","Brousseau",TRUE
"10.1007/BF01237655","Evolutionary Ecology","Benton",TRUE
"10.1007/bf02027951","Journal of Chemical Ecology","Pfister",TRUE
"10.1007/BF02765226","Researches on Population Ecology","Yoccoz",TRUE
"10.1007/s00227-012-1933-6","Marine Biology","Haslob",TRUE
"10.1007/s00227-015-2695-8","Marine Biology","Meyer",TRUE
"10.1007/s00338-015-1269-z","Coral Reefs","Bramanti",TRUE
"10.1007/s00338-015-1341-8)",NA,NA,FALSE
"10.1007/s00442-009-1382-1","Oecologia","Lawler",TRUE
"10.1007/s00442-010-1761-7","Oecologia","Hudgens",TRUE
"10.1007/s00442-011-1931-2","Oecologia","Grey",TRUE
"10.1007/s00442-011-2070-5","Oecologia","Schaub",TRUE
"10.1007/s00442-013-2768-7","Oecologia","Altwegg",TRUE
"10.1007/s00442-015-3222-9","Oecologia","Fernández-Chacón",TRUE
"10.1007/s10144-003-0139-7",NA,NA,FALSE
"10.1007/s10144-003-0145-9","Population Ecology","Conroy",TRUE
"10.1007/s10144-008-0075-7","Population Ecology","Ripley",TRUE
"10.1007/s10144-011-0292-3","Population Ecology","Hyslop",TRUE
"10.1007/s10144-012-0306-9","Population Ecology","Kerbiriou",TRUE
"10.1007/s10144-014-0450-5","Population Ecology","Wolf",TRUE
"10.1007/s10144-015-0517-y","Population Ecology","Öst",TRUE
"10.1007/s10336-011-0745-7","Journal of Ornithology","Szostek",TRUE
"10.1007/s10336-011-0758-2","Journal of Ornithology","Duckworth",TRUE
"10.1007/s10441-009-9090-0","Acta Biotheoretica","Serghini",TRUE
"10.1007/s10530-010-9786-8","Biological Invasions","Morris",TRUE
"10.1007/s10646-010-0507-y","Ecotoxicology","Duchet",TRUE
"10.1007/s10646-012-0904-5","Ecotoxicology","Hamda",TRUE
"10.1007/s10646-014-1267-x)",NA,NA,FALSE
"10.1007/s10750-007-9136-8","Hydrobiologia","Pardo",TRUE
"10.1007/s10764-009-9332-7","International Journal of Primatology","Isbell",TRUE
"10.1007/s10764-010-9461-z","International Journal of Primatology","Blomquist",TRUE
"10.1007/s10980-013-9896-7","Landscape Ecology","Hovick",TRUE
"10.1007/s11252-016-0566-9","Urban Ecosystems","Makenov",TRUE
"10.1007/s11270-014-2207-3","Water, Air, & Soil Pollution","Santadino",TRUE
"10.1016/0304-3800(93)E0081-D","Ecological Modelling","Jensen",TRUE
"10.1016/j.aquatox.2008.03.012","Aquatic Toxicology","Manyin",TRUE
"10.1016/j.aspen.2014.03.009","Journal of Asia-Pacific Entomology","Huang",TRUE
"10.1016/j.baae.2010.11.004","Basic and Applied Ecology","Sergio",TRUE
"10.1016/j.biocon.2003.11.002","Biological Conservation","Schaub",TRUE
"10.1016/j.biocon.2003.11.017","Biological Conservation","Otway",TRUE
"10.1016/j.biocon.2004.01.029","Biological Conservation","Gerber",TRUE
"10.1016/j.biocon.2005.06.032","Biological Conservation","Haines",TRUE
"10.1016/j.biocon.2006.06.014","Biological Conservation","Tirpak",TRUE
"10.1016/j.biocon.2007.01.015","Biological Conservation","Hilderbrand",TRUE
"10.1016/j.biocon.2007.10.006","Biological Conservation","Dunham",TRUE
"10.1016/j.biocon.2007.11.003","Biological Conservation","Lubben",TRUE
"10.1016/j.biocon.2008.04.001","Biological Conservation","Enneson",TRUE
"10.1016/j.biocon.2009.05.029","Biological Conservation","Hostetler",TRUE
"10.1016/j.biocon.2009.06.020","Biological Conservation","Balme",TRUE
"10.1016/j.biocon.2009.12.010","Biological Conservation","Krüger",TRUE
"10.1016/j.biocon.2010.12.027","Biological Conservation","Rhodes",TRUE
"10.1016/j.biocon.2013.05.008","Biological Conservation","Chelliah",TRUE
"10.1016/j.biocon.2013.07.008","Biological Conservation","Wielgus",TRUE
"10.1016/j.biocon.2013.09.005","Biological Conservation","Cruz",TRUE
"10.1016/j.biocon.2013.09.006","Biological Conservation","Péron",TRUE
"10.1016/j.biocon.2013.12.013","Biological Conservation","McCaffery",TRUE
"10.1016/j.biocon.2014.04.010","Biological Conservation","Conlisk",TRUE
"10.1016/j.biocon.2014.05.026","Biological Conservation","Goswami",TRUE
"10.1016/j.biocon.2016.02.031","Biological Conservation","Ryu",TRUE
"10.1016/j.biocon.2016.06.014","Biological Conservation","Gerber",TRUE
"10.1016/j.crvi.2005.09.009","Comptes Rendus Biologies","Pichancourt",TRUE
"10.1016/j.ecoenv.2005.05.017","Ecotoxicology and Environmental Safety","Gutjahr-Gobell",TRUE
"10.1016/j.ecoenv.2012.01.019","Ecotoxicology and Environmental Safety","Bergek",TRUE
"10.1016/j.ecolmodel.2003.06.007","Ecological Modelling","Wallace",TRUE
"10.1016/j.ecolmodel.2010.06.026","Ecological Modelling","Wiederholt",TRUE
"10.1016/j.ecolmodel.2011.10.021","Ecological Modelling","Chu-Agor",TRUE
"10.1016/j.ecolmodel.2012.02.018","Ecological Modelling","Lesnoff",TRUE
